Timestamp,State
24-12-27_16-22-10-941181,OFF
24-12-27_16-22-11-009863,ON
24-12-27_16-22-11-103842,OFF
24-12-27_16-22-11-170755,ON
24-12-27_16-22-11-238310,OFF
24-12-27_16-22-11-307399,ON
24-12-27_16-22-11-375610,OFF
24-12-27_16-22-11-470122,ON
24-12-27_16-22-11-538220,OFF
24-12-27_16-22-11-610661,ON
24-12-27_16-22-11-678180,OFF
24-12-27_16-22-11-750640,ON
24-12-27_16-22-11-818389,OFF
24-12-27_16-22-11-886976,ON
24-12-27_16-22-11-956220,OFF
24-12-27_16-22-12-024521,ON
24-12-27_16-22-12-093300,OFF
24-12-27_16-22-12-160704,ON
24-12-27_16-22-12-229420,OFF
24-12-27_16-22-12-297006,ON
24-12-27_16-22-12-367818,OFF
24-12-27_16-22-12-437594,ON
24-12-27_16-22-12-504755,OFF
24-12-27_16-22-12-572361,ON
24-12-27_16-22-12-642910,OFF
24-12-27_16-22-12-709991,ON
24-12-27_16-22-12-777247,OFF
24-12-27_16-22-12-866006,ON
24-12-27_16-22-12-935742,OFF
24-12-27_16-22-13-004021,ON
24-12-27_16-22-13-072314,OFF
24-12-27_16-22-13-142170,ON
24-12-27_16-22-13-209230,OFF
24-12-27_16-22-13-275785,ON
24-12-27_16-22-13-344306,OFF
24-12-27_16-22-13-413011,ON
24-12-27_16-22-13-482997,OFF
24-12-27_16-22-13-554258,ON
24-12-27_16-22-13-622388,OFF
24-12-27_16-22-13-690003,ON
24-12-27_16-22-13-758663,OFF
24-12-27_16-22-13-827400,ON
24-12-27_16-22-13-895681,OFF
24-12-27_16-22-13-964367,ON
24-12-27_16-22-14-034754,OFF
24-12-27_16-22-14-103557,ON
24-12-27_16-22-14-171799,OFF
24-12-27_16-22-14-238361,ON
24-12-27_16-22-14-306959,OFF
24-12-27_16-22-14-375167,ON
24-12-27_16-22-14-443486,OFF
24-12-27_16-22-14-518811,ON
24-12-27_16-22-14-587538,OFF
24-12-27_16-22-14-656113,ON
24-12-27_16-22-14-723233,OFF
24-12-27_16-22-14-791043,ON
24-12-27_16-22-14-861838,OFF
24-12-27_16-22-14-930384,ON
24-12-27_16-22-14-998986,OFF
24-12-27_16-22-15-068225,ON
24-12-27_16-22-15-136504,OFF
24-12-27_16-22-15-204064,ON
24-12-27_16-22-15-273555,OFF
24-12-27_16-22-15-340785,ON
24-12-27_16-22-15-408285,OFF
24-12-27_16-22-15-478174,ON
24-12-27_16-22-15-545008,OFF
24-12-27_16-22-15-617234,ON
24-12-27_16-22-15-686143,OFF
24-12-27_16-22-15-754882,ON
24-12-27_16-22-15-824880,OFF
24-12-27_16-22-15-891517,ON
24-12-27_16-22-15-960772,OFF
24-12-27_16-22-16-029905,ON
24-12-27_16-22-16-101715,OFF
24-12-27_16-22-16-170019,ON
24-12-27_16-22-16-237258,OFF
24-12-27_16-22-16-303740,ON
24-12-27_16-22-16-372066,OFF
24-12-27_16-22-16-441260,ON
24-12-27_16-22-16-528199,OFF
24-12-27_16-22-16-596905,ON
24-12-27_16-22-16-678714,OFF
24-12-27_16-22-16-746365,ON
24-12-27_16-22-16-818476,OFF
24-12-27_16-22-16-886556,ON
24-12-27_16-22-16-956920,OFF
24-12-27_16-22-17-026321,ON
24-12-27_16-22-17-094983,OFF
24-12-27_16-22-17-163507,ON
24-12-27_16-22-17-231717,OFF
24-12-27_16-22-17-301553,ON
24-12-27_16-22-17-370176,OFF
24-12-27_16-22-17-438029,ON
24-12-27_16-22-17-504505,OFF
24-12-27_16-22-17-572707,ON
24-12-27_16-22-17-641109,OFF
24-12-27_16-22-17-708582,ON
24-12-27_16-22-17-793966,OFF
24-12-27_16-22-17-864675,ON
24-12-27_16-22-17-932810,OFF
24-12-27_16-22-18-002656,ON
24-12-27_16-22-18-070299,OFF
24-12-27_16-22-18-138441,ON
24-12-27_16-22-18-205776,OFF
24-12-27_16-22-18-278861,ON
24-12-27_16-22-18-353192,OFF
24-12-27_16-22-18-420084,ON
24-12-27_16-22-18-489689,OFF
24-12-27_16-22-18-559570,ON
24-12-27_16-22-18-627657,OFF
